produccion_toneladas,año,id_municipio,subregion
2450.0,2000,76863,Norte
500.0,2000,76869,Sur
4611.0,2000,76890,Centro
3902.0,2000,76828,Centro
171.0,2000,76845,Norte
3987.0,2000,76834,Centro
8410.0,2000,76616,Centro
525.0,2000,76036,Centro
5022.0,2000,76041,Norte
2925.0,2000,76054,Norte
1600.0,2000,76001,Sur
2205.0,2000,76020,Norte
3206.0,2000,76113,Centro
27807.0,2000,76122,Centro
3952.0,2000,76100,Norte
1513.0,2000,76109,Pacifico
3575.0,2000,76111,Centro
3380.0,2000,76377,Sur
191.0,2000,76400,Norte
6800.0,2000,76318,Centro
150.0,2000,76364,Sur
1584.0,2000,76403,Norte
130.0,2000,76563,Sur
3156.0,2000,76606,Centro
3146.0,2000,76497,Norte
2592.0,2000,76520,Sur
1278.0,2000,76126,Centro
4635.0,2000,76233,Sur
2400.0,2000,76243,Norte
176.0,2000,76130,Sur
3700.0,2000,76147,Norte
4620.0,2000,76275,Sur
